,"百年松樹，五月芭蕉","粗枝大葉"
,"百年松做柴燒","大材小用；屈才"
,"百鳥展翅","各顯其能"
,"百歲老人過生日","難得有一回"
,"百歲老人學跳舞","人老心不老"
,"百歲老人做大壽","四世同堂"
,"百歲養兒子","得之（子）不易"
,"百萬雄師下江南","興師動眾"
,"百萬雄獅過大江","勢不可當"
,"百丈高竿掛紅燈","外面看見裡面紅（比喻表面上有錯，實際上不行。）"
,"百隻麻雀炒碟菜","儘是嘴"
,"柏木椽子（chuan zi","寧折不彎"
,"柏油燙豬頭","連根拔"
,"擺渡不成翻了舟","兩頭誤"
,"敗家子回頭","金不換"
,"拜罷天地去討飯","沒過一天好日子"
,"拜佛走進呂祖（呂洞賓）廟","走錯了門"
,"拜年不磕頭","幹什麼來了"
,"拜年的話","好聽"
,"拜年的見了面","你好我也好"
,"拜堂的夫妻","謝天謝地"
,"拜堂聽見烏鴉叫","倒霉透了；掃興"
,"扳不倒（不倒翁）掉到水缸裡","搖搖擺擺"
,"扳不倒蓋被子","人小輩（被）大"
,"扳不倒照鏡子","裡外不是人"
,"扳倒大樹掏老鴿","揀有把握的干"
,"扳倒大樹掏老鴰","揀有把握的干"
,"扳倒大甕掏小米","摸到底了"
,"扳倒碓窩（dui wo石臼）嚇婆婆","潑婦"
,"扳倒葫蘆灑了油","一不做，二不休"
,"扳倒礁窩，嚇跑婆婆","潑婦"
,"扳倒樹掏老鴰","穩逮"
,"扳手緊螺帽","絲絲入扣"
,"扳著指頭算賬","有數"
,"班門弄斧","自不量力"
,"班頭（衙門裡緝捕犯人的差役）打他爹","公事公辦"
,"斑鳩打架","賣弄風流"
,"斑馬的腦袋","頭頭是道"
,"搬家丟了老婆","粗心極了"
,"搬起石？砸碾盤","實（石）打實（石）"
,"搬起石頭砸自己的腳","自作自受；自找罪受自討苦吃"
,"搬石頭打腦殼（腦袋）","自討苦吃過不去"
,"搬石頭上山","費力不討好；又蠢又笨"
,"搬梯子上大","沒門；難上難；瞎張羅"
,"搬竹竿進胡同","直來直去"
,"搬著車？轆（gu lu車輪）上山","硬幹"
,"搬著梯子上天","沒門"
,"板凳倒地","四腳朝天"
,"板凳倒立","四腳朝天"
,"板凳爬上牆","怪事一"
,"板凳上打麻將","抓不開"
,"板凳上放雞蛋","不可靠；好險；危險"
,"板凳上擱蒺藜（ji li一年生草本植物。尖刺）","坐不住"
,"板凳上擱窩窩頭","有板有眼"
,"板凳上睡覺","翻不了身；難翻身，往寬綽想好夢不長"
,"板門上貼門神","一個向東，一個向西"
,"板上釘釘子","穩紮穩打"
,"半邊豬頭","獨眼"
,"半道上撿個喇叭","有吹的了"
,"半道上遇親人","喜相逢"
,"半吊子的一半","二百五"
,"半個銅錢","不成方圓"
,"半個月繡不出一朵花","真（針）差"
,"半截梭子織布","獨來獨往"
,"半斤對八兩（舊制八兩為半斤）","一碼事"
,"半斤換八兩","誰也不沾誰的光；誰也不吃虧"
,"半空的云彩","變化多端"
,"半空中盪鞦韆","不落實"
,"半空中的火把","高明"
,"半空中的氣球","上不著天，上不著地；懸著哩"
,"半空中點燈","高明"
,"半空中吊帳子","不著實地"
,"半空中放風箏","總有牽線人"
,"半空中掛鍋鏟","吵（炒）翻了天"
,"半空中掛剪刃","高才（栽）"
,"半空中掛口袋","裝瘋（風）"
,"半空中抹糨子（jiang zi）糨糊）","胡（糊）；"
,"半空中騎馬","騰云駕霧"
,"半拉瓜子","不算個人（仁）；你算什麼人"
,"半籃子喜鵲","嘰嘰喳喳"
,"半兩人說千斤語","好大的口氣"
,"半路上碰見劫道的","凶多吉少"
,"半路上出家","從頭學起"
,"半路上丟算盤","失算了"
,"半路上留客人","嘴上熱情"
,"半路上留客","嘴上熱情；嘴上熱鬧"
,"半路上殺出個程咬金","突如其來：措手不及"
,"半路上殺出個楊排風","好厲害的丫頭"
,"半路天小差","有始無終"
,"半瓶於醋","晃蕩得很"
,"半身子躺在棺材裡","等著死（比喻不能再為人民做貢獻了。）"
,"半天打不出噴嚏來","難受"
,"半天云裡踩鋼絲","提心吊膽"
,"半天云里長滿草","破天荒"
,"半天云裡唱歌","調子太高"
,"半天云裡吃喝","空喊"
,"半天云裡吹嗩吶","想（響）得高"
,"半天云裡打燈籠","高明"
,"半天云裡打電話","空談"
,"半天云裡打麻雀","空對空"
,"半天云裡打算盤","算得高"
,"半天云裡打銅鑼","四方聞名（鳴）；響噹噹"
,"半天云裡點燈","高招（照）"
,"半天云裡翻跟頭","不著實地"
,"半天云裡翻筋頭","終究要落地（比喻早晚要跌跟頭。）"
,"半天云裡翻賬簿","算得高"
,"半天云裡放屁","臭氣熏天"
,"半天云裡掛鍋鏟","吵（炒）翻（飛）了天"
,"半天云裡掛剪子","高才"
,"半天云裡掛口袋","裝瘋（風）"
,"半天云裡喊口號","呼聲很高"
,"半天云里拉家常","空談"
,"半天云裡聊天","高談闊論"
,"半天云裡扭身歌","空歡喜（比喻白白地高興一場，並沒有達到目的。）"
,"半天云裡扭秧歌","空歡喜；空喜"
,"半天云裡拍巴掌","空想（響）"
,"半天云裡拋棉花","肯定落空"
,"半天云裡跑馬","露馬腳"
,"半天云裡騎仙鶴","遠走高飛"
,"半天云裡響炸雷","驚天動地"
,"半天云裡寫文章","空話連"
,"半天云裡演雜技","藝高人膽大"
,"半天云裡找對象","要求太高"
,"半天云裡作演說","高論"
,"半天云裡做演說","高論"
,"半天云中拍巴掌","高手"
,"半天抓云","一句空話"
,"半響打不出噴嚏來","干難受"
,"半夜拔河","暗中使勁"
,"半夜不見槍頭子","攮（nang用力刺）到賊肚裡"
,"半夜吃甘庶","不知頭尾"
,"半夜吃黃瓜","不知頭尾（比喻不知事情的經過或底細。）"
,"半夜吃黃連","暗中叫苦"
,"半夜出門做生意","賺黑錢"
,"半夜打雷心不驚","問心無愧"
,"半夜彈琴","暗中作樂"
,"半夜過獨木橋","步步小心"
,"半夜雞叫","亂了時辰"
,"半夜裡的鋪蓋（被子）","沒人理"
,"半夜裡和面","瞎鼓搗"
,"半夜裡掄大斧","瞎砍一通"
,"半夜裡夢見做皇帝","快活一時是一時（比喻無止境的追求歡樂或比喻美夢不長，空喜歡了一場。）"
,"半夜裡摸帽子","為時過早；太早了"
,"半夜裡撒囈掙（sa yi zhenQ熟睡時說話或動作","迷迷糊糊"
,"半夜裡摘茄子","不分老嫩"
,"半夜裡捉蝨子","瞎摸；摸不著"
,"半夜聊天","瞎說"
,"半夜鬧王殿","暗中搞鬼"
,"半夜爬山","不知高低"
,"半夜起來罵閻王","等死等不到天亮"
,"半夜敲鐘","一鳴驚人"
,"半夜三更放鞭炮","一鳴驚人"
,"半夜三更亡茅房（廁所）","迫不得已"
,"半夜下館子（飯館）","吃閉門羹"
,"半夜做惡夢","虛驚一場"
,"半夜做買賣","暗中交易"
,"半夜做夢娶新娘","想得倒美"
,"半衣敲鐘","一鳴驚人"
,"半衣捅雞窩","暗中搗蛋"
,"拌桶（田裡脫穀粒用的方形大木桶）包豆腐","大方"
,"綁著腿的青蛙","跳不了啦"
,"膀子折斷了往袖裡塞","干吃啞巴虧"
,"蚌殼裡取珍珠","圖財害命；謀財害命"
,"蚌裡藏珍珠","好的在裡面"
,"棒糙上天","總有一頭落地"
,"棒槌（洗衣時用以捶打的木棍）吹火","一竅不通"
,"棒槌吹火","一竅不通"
,"棒搥打缸","四分五裂"
,"棒槌彈棉花","亂談（彈）"
,"棒槌當針","粗細不分"
,"棒槌鍛磨","胡鑿"
,"棒槌縫衣服","當真（針）"
,"棒槌拉胡琴","粗中有細；不是正經家"
,"棒槌裡插針","粗中有細"
,"棒槌敲鼓","大干一場"
,"棒槌敲竹筒","空想（響）"
,"棒打鴨子","呱呱叫"
,"棒打鴛鴦","兩分離；難分開"
,"棒相當針","粗細不分（比喻沒深沒淺，分不出好壞。）"
,"棒子面（玉米粉）抻（ch6n扯）面條","要的就是這個勁兒"
,"棒子面煮葫蘆","胡胡塗涂"
,"棒子面煮雞子兒（雞蛋）","糊塗蛋"
,"棒子面做蛋糕","不是正經材料"
,"磅秤上放粒芝麻","無足輕重"
,"包辦婚姻","不由自主"
,"包單（被單）布洗臉","大方"
,"包單布洗臉","大方"
,"包工頭監工","動口不動手"
,"包公的上方寶劍","先斬後奏"
,"包公的衙門","好進難出"
,"包公的鍘刀","不認人"
,"包公斷案","鐵面無私"
,"包公放糧","為窮人著想"
,"包公審案子","鐵面尤私；六親不認"
,"包公升堂","儘管直說"
,"包公鍘陳世美","公事公辦；大快人心"
,"包公鍘駙馬","剛正不阿；公事公辦"
,"包公鍘皇親","法不容人；六親不認"
,"包公斬包勉","正人先正己"
,"包腳布當孝帽","一步（布）登天；能到頂了"
,"包腳布裹金條","內中有寶；外賤內貴"
,"包腳佈滿天飛","打的什麼旗號"
,"包腳布上飛機","一步（布）登天"
,"包腳布圍嘴","臭了一圈"
,"包腳布做圍脖","臭一圈兒"
,"包老爺（包公）辦案","明察秋毫"
,"包老爺怒鍘陳世美","一刀兩斷"
,"包老爺升堂","一呼百應；前呼後擁"
,"包龍圖斷案","認理不認親：六親不認"
,"包米面做元宵","捏不到一塊兒"
,"包子吃到豆沙邊","嘗到甜頭"
,"包子出了糖","露了餡兒（比喻不願意讓人知道的事暴露出來了。）"
,"包子饅頭做一籠","大家都爭氣"
,"包子沒餡","蠻（饅）頭"
,"包子張嘴","露餡"
,"苞谷稈裡的蟲","專（鑽）心"
,"苞谷秸喂牲口","天生的粗料"
,"苞谷面做元宵","捏不攏"
,"齙牙齒（bao ya chi）牙齒穿出於嘴唇外的人啃西瓜","條條是道；道道多"
,"雹打的高梁稈","光棍一條"
,"寶劍出鞘","鋒芒畢露"
,"寶玉和湘云哭賈母","各有各的眼淚"
,"寶玉湘云哭賈母","各有各的傷心處"
,"飽帶乾糧晴帶傘","有備無患"
,"保姆做嫁妝","替別人歡喜"
,"保險櫃裡安家","圖的是安全"
,"保險櫃裡安雷管","暗藏殺機"
,"報曉的公雞","叫得早"
,"抱乾柴救烈火","越幫越忙"
,"抱黃連敲門","苦到家了"
,"抱雞婆打擺子","窩裡戰（顫）"
,"抱雞婆帶娃娃","只管自家一窩"
,"抱木偶打狗","把你不當人"
,"抱菩薩洗澡","淘神"
,"抱窩雞帶崽","可忙啦"
,"抱元寶跳井","愛財捨命；捨命不捨財"
,"抱在懷裡的西瓜","十拿九穩（比喻辦事非常準確或有把握。）"
,"抱著搟麵杖當笙吹","一竅不通"
,"抱著孩子拜天地","雙喜臨門"
,"抱著黃連做生意","苦心經營"
,"抱著機器人親嘴","你有情他無意"
,"抱著金磚跳海","人財兩空；愛財如命"
,"抱著蠟燭取暖","無濟於事"
,"抱著老虎喊救命","自找死"
,"抱著木炭親嘴","觸一鼻子灰"
,"抱著琵琶進磨坊","對牛彈琴"
,"抱著屁股上樓","自己抬自己"
,"抱著菩薩親嘴","一頭熱乎"
,"抱著錢罐子打噸","財迷"
,"抱著錢匣子睡覺","財迷心竅"
,"抱著石頭跳深淵","死不回頭"
,"抱著鐵耙子親嘴","自找釘子碰"
,"抱著元寶跳井","捨命不捨財"
,"抱著枕頭跳舞","自得其樂"
,"抱著枕頭做好夢","空喜一場"
,"豹蟬唱歌","有聲有色"
,"豹子借豬狗借骨","有去無回"
,"豹子進山","渾身是膽"
,"暴風雨中的航船","頂風破浪"
,"暴雨前的閃電","人發雷霆"
,"爆炒鵝卵石","不進油鹽；油鹽不進"
,"爆米花沏茶","泡湯了"
,"爆竹的脾氣","一點就炸"
,"杯水救燎原","無濟於事；微不足道"
,"北冰洋的梅子","寒酸"
,"北冰洋的夜晚","冷靜"
,"北冰洋上聊天","全是冷言冷語"
,"北極的冰川","頑固不化"
,"北極的另一端","難（南）極"
,"北極熊打呵欠","盡吹冷風"
,"北面開窗","不怕冷風"
,"背鼎鍋跳加官（舊時戲曲開場或演出中，遇顯貴到場時，加演的舞蹈節目）","費力不討好"
,"背鼓進祠堂","一副挨打的相"
,"背鼓進廟","找錘"
,"背後藏茄子","有外心"
,"背後拉弓","暗箭傷人"
,"背後抹胡琴","拉不著"
,"背後施一禮","沒人領情"
,"背後捅刀子","暗傷人"
,"背後作揖","反禮"
,"背靠背睡覺","體貼人"
,"背靠背走路","各奔東西"
,"背靠懸崖","沒退路了"
,"背門板上街","好大的牌子"
,"背菩薩下河","淘神"
,"背起棺材過黃河","連後路都準備好了"
,"背人偷酒吃","冷暖自家知"
